user_id,post_interval_std,likes_per_hour,comments_per_hour,repost_ratio,follower_following_ratio,account_age_days,profile_completeness,unique_word_ratio,avg_sentiment_score,burst_flag,network_overlap_score,night_activity_ratio,hashtag_reuse_rate,avg_response_time_sec,is_bot
31,656.45,20,0,0.162,0.511,2365,0.69,0.68,-0.188,0,0.004,0.202,0.394,34522.89,0
32,1306.66,36,3,0.134,1.456,1097,0.78,0.93,-0.517,0,0.073,0.103,0.072,7270.31,0
33,25.02,150,72,0.979,0.164,115,0.32,0.23,-0.045,1,0.786,0.766,0.638,9.53,1
34,1738.44,27,5,0.345,4.922,1273,0.82,0.85,0.773,1,0.345,0.195,0.18,58711.24,0
35,1407.79,26,12,0.192,3.212,351,0.52,0.74,-0.28,0,0.026,0.176,0.026,36640.89,0
36,13.75,153,98,0.871,0.142,143,0.34,0.21,0.091,0,0.791,0.669,0.797,8.22,1
37,24.57,99,137,0.721,0.298,113,0.17,0.11,-0.063,1,0.717,0.609,0.751,8.88,1
38,10.17,178,68,0.918,0.27,152,0.22,0.28,0.07,1,0.914,0.734,0.832,4.35,1
39,9.28,80,87,0.858,0.076,52,0.25,0.17,0.034,1,0.794,0.633,0.862,1.93,1
40,817.42,14,7,0.223,4.277,2142,0.56,0.62,-0.947,0,0.09,0.24,0.362,33885.28,0
41,1389.28,6,3,0.292,3.458,1428,0.86,0.52,0.704,1,0.356,0.274,0.006,84482.59,0
42,1591.56,30,18,0.138,1.43,1738,0.67,0.88,0.944,0,0.006,0.281,0.301,72098.27,0
43,818.39,18,0,0.3,1.497,2574,0.57,0.96,0.353,0,0.35,0.25,0.138,60961.63,0
44,18.31,95,65,0.765,0.087,30,0.1,0.15,-0.06,0,0.893,0.747,0.917,3.31,1
45,10.99,187,128,0.989,0.043,174,0.38,0.16,0.073,1,0.972,0.523,0.831,3.47,1
46,25.92,103,135,0.832,0.158,63,0.18,0.19,-0.003,1,0.909,0.769,0.737,10.0,1
47,472.41,32,9,0.3,1.256,2104,0.99,0.89,0.246,0,0.373,0.233,0.115,40510.46,0
48,1999.52,1,1,0.333,2.754,1997,0.59,0.74,0.594,0,0.362,0.163,0.186,68012.67,0
49,9.51,197,133,0.724,0.08,143,0.13,0.12,-0.075,1,0.81,0.796,0.646,9.35,1
50,11.67,151,117,0.973,0.289,57,0.25,0.25,0.054,1,0.722,0.887,0.865,4.67,1
51,328.52,9,5,0.269,2.254,1568,0.68,0.86,-0.977,0,0.137,0.256,0.317,28733.25,0
52,22.41,87,88,0.93,0.02,38,0.33,0.23,0.052,1,0.772,0.434,0.784,1.42,1
53,1.72,125,109,0.739,0.126,84,0.3,0.29,-0.086,0,0.713,0.531,0.699,9.16,1
54,451.8,10,6,0.226,2.537,554,0.72,0.74,-0.684,1,0.277,0.129,0.351,78237.22,0
55,25.85,169,59,0.872,0.063,17,0.16,0.12,0.044,1,0.975,0.709,0.621,7.67,1
56,20.48,89,74,0.771,0.294,118,0.18,0.18,-0.081,0,0.766,0.781,0.96,6.98,1
57,238.48,11,5,0.099,1.575,1858,0.94,0.7,0.482,0,0.345,0.129,0.084,49485.26,0
58,1562.47,15,1,0.061,4.297,3280,0.91,0.67,0.603,0,0.094,0.215,0.075,8093.86,0
59,0.32,113,119,0.764,0.237,104,0.16,0.22,0.036,1,0.616,0.728,0.937,7.48,1
60,18.18,151,113,0.703,0.015,159,0.17,0.13,0.023,1,0.671,0.673,0.648,9.41,1
61,1045.5,37,8,0.085,2.888,3558,0.67,0.85,-0.508,0,0.359,0.259,0.334,70991.99,0
62,1508.38,18,5,0.063,1.928,3507,0.55,0.64,-0.324,0,0.27,0.016,0.292,45525.29,0
63,740.9,5,10,0.046,2.053,2591,0.74,0.59,0.924,0,0.277,0.152,0.361,32929.4,0
64,1411.75,36,1,0.186,1.271,3390,0.71,0.88,-0.96,0,0.179,0.165,0.388,64003.58,0
65,17.99,92,91,0.995,0.283,129,0.24,0.2,0.071,1,0.632,0.505,0.725,2.05,1
66,1088.11,33,10,0.311,2.242,1247,0.51,0.76,0.529,0,0.385,0.055,0.278,70502.03,0
67,1324.78,14,3,0.149,3.613,1067,0.61,0.52,-0.491,0,0.283,0.271,0.27,38026.01,0
68,20.07,176,118,0.769,0.155,4,0.11,0.23,-0.065,1,0.982,0.857,0.748,1.14,1
69,787.6,22,1,0.213,3.911,2303,0.94,0.91,-0.84,0,0.058,0.249,0.345,45645.06,0
70,424.67,21,0,0.049,4.716,2961,0.61,0.54,0.755,1,0.105,0.091,0.145,43442.72,0
71,1139.02,21,11,0.318,3.04,2429,0.81,0.84,-0.123,0,0.254,0.026,0.057,44315.78,0
72,1184.12,7,5,0.366,4.533,3218,0.8,0.53,-0.855,0,0.298,0.086,0.35,55748.49,0
73,16.14,82,54,0.79,0.081,83,0.32,0.24,0.093,0,0.9,0.653,0.961,6.19,1
74,22.3,144,107,0.954,0.105,154,0.2,0.25,-0.047,1,0.629,0.818,0.637,1.51,1
75,266.18,38,19,0.354,3.819,1412,0.63,0.66,-0.023,0,0.349,0.19,0.289,22840.77,0
76,1089.57,10,14,0.004,3.797,3248,0.7,0.86,-0.141,0,0.165,0.264,0.219,28993.41,0
77,1337.29,3,14,0.235,2.138,2576,0.83,0.84,0.755,0,0.391,0.006,0.083,80394.68,0
78,405.09,30,5,0.014,2.141,1336,0.8,0.57,-0.715,0,0.194,0.035,0.05,22177.54,0
79,1.23,181,136,0.72,0.262,72,0.12,0.26,-0.093,1,0.609,0.831,0.663,5.63,1
80,0.05,189,133,0.787,0.261,132,0.24,0.16,-0.006,1,0.97,0.427,0.946,5.6,1
81,18.11,118,140,0.723,0.286,41,0.13,0.22,0.025,1,0.707,0.408,0.986,3.26,1
82,1257.93,29,17,0.217,3.208,298,0.95,0.52,0.124,0,0.098,0.157,0.162,17029.8,0
83,1566.77,11,15,0.113,4.344,660,0.62,0.66,-0.724,0,0.372,0.243,0.217,81340.41,0
84,1270.83,17,15,0.035,3.181,1930,0.54,0.88,0.307,0,0.376,0.176,0.315,17257.44,0
85,13.33,152,148,0.927,0.094,140,0.19,0.21,0.075,1,0.623,0.839,0.638,4.74,1
86,1090.17,6,7,0.143,2.664,1434,0.86,0.57,-0.123,0,0.281,0.172,0.183,66157.38,0
87,1601.42,15,18,0.269,4.071,719,0.89,0.76,-0.115,0,0.185,0.151,0.081,78089.08,0
88,816.71,10,1,0.133,4.097,2423,0.79,0.79,-0.017,0,0.328,0.14,0.214,85383.77,0
89,16.43,195,149,0.727,0.147,173,0.16,0.29,-0.033,1,0.969,0.609,0.985,1.22,1
90,0.23,82,50,0.915,0.226,131,0.39,0.29,-0.055,1,0.812,0.507,0.678,1.73,1
91,11.94,126,72,0.911,0.022,116,0.12,0.24,-0.093,1,0.786,0.447,0.883,5.4,1
92,1985.42,18,7,0.166,1.034,2208,0.75,0.58,0.266,0,0.226,0.298,0.011,79058.7,0
93,22.31,196,134,0.9,0.081,50,0.26,0.13,-0.039,1,0.664,0.503,0.915,2.5,1
94,13.48,121,78,0.866,0.252,73,0.16,0.17,-0.084,0,0.965,0.41,0.861,4.46,1
95,1329.7,14,11,0.16,4.256,1389,0.91,0.58,-0.307,0,0.162,0.02,0.379,29234.32,0
96,1133.43,22,9,0.146,2.31,466,0.8,0.83,-0.439,0,0.236,0.006,0.355,9649.27,0
97,10.61,127,132,0.833,0.2,153,0.34,0.28,-0.05,1,0.784,0.537,0.994,8.42,1
98,24.49,144,100,0.805,0.187,76,0.13,0.25,-0.05,0,0.689,0.416,0.7,4.02,1
99,1375.86,29,7,0.217,2.071,1015,0.92,0.82,-0.851,0,0.312,0.21,0.388,2211.27,0
100,25.78,85,106,0.92,0.298,119,0.27,0.2,0.067,1,0.996,0.598,0.996,2.4,1
101,1347.48,33,5,0.12,0.559,2402,0.5,0.58,-0.003,0,0.324,0.219,0.195,24345.5,0
102,1812.65,30,13,0.213,1.922,2346,0.78,0.81,0.832,0,0.104,0.018,0.354,41404.61,0
103,1891.66,20,6,0.167,2.196,2965,0.55,0.83,0.335,0,0.014,0.2,0.281,2310.44,0
104,14.98,146,129,0.734,0.283,173,0.13,0.28,-0.017,1,0.864,0.621,0.859,1.55,1
105,528.7,6,10,0.254,3.799,291,0.9,0.58,-0.526,1,0.178,0.156,0.124,41595.67,0
106,15.72,165,64,0.711,0.298,73,0.38,0.24,-0.075,1,0.837,0.818,0.617,3.13,1
107,1745.04,11,2,0.37,1.487,187,0.95,0.95,0.17,1,0.372,0.167,0.275,53035.87,0
108,1360.61,35,2,0.08,4.62,3108,0.53,0.61,-0.313,0,0.126,0.231,0.336,826.12,0
109,1513.11,11,8,0.084,4.417,1382,0.59,0.65,0.203,0,0.377,0.058,0.143,85908.41,0
110,1346.7,12,4,0.213,3.527,2814,0.8,0.6,0.338,1,0.183,0.092,0.049,57958.89,0
111,15.69,143,116,0.823,0.173,61,0.33,0.12,-0.085,1,0.637,0.693,0.691,9.06,1
112,308.46,9,17,0.096,0.851,991,0.68,0.64,-0.829,0,0.128,0.164,0.31,34224.92,0
113,939.54,7,14,0.364,4.283,995,0.93,0.59,0.407,0,0.046,0.233,0.325,51210.96,0
114,1245.16,24,11,0.336,4.383,1273,0.69,0.91,-0.647,0,0.26,0.273,0.046,50936.19,0
115,14.93,156,96,0.903,0.021,22,0.38,0.17,-0.008,1,0.68,0.433,0.944,8.82,1
116,1150.3,29,5,0.021,0.841,439,0.54,0.92,-0.804,1,0.139,0.101,0.131,82125.27,0
117,762.91,22,2,0.104,4.705,1075,0.75,0.57,-0.889,0,0.292,0.18,0.287,40790.72,0
118,21.73,140,114,0.922,0.277,51,0.31,0.24,0.003,1,0.759,0.831,0.732,3.33,1
119,820.36,13,17,0.228,0.877,1845,0.51,0.54,-0.821,0,0.038,0.032,0.255,10278.1,0
120,1058.73,1,15,0.246,3.504,766,0.84,0.51,0.649,1,0.18,0.168,0.13,67843.13,0
121,1224.98,16,3,0.033,4.676,3493,0.94,0.5,0.476,1,0.131,0.293,0.161,36424.42,0
122,1.18,86,91,0.758,0.208,13,0.32,0.22,0.013,0,0.67,0.541,0.683,9.74,1
123,28.86,127,126,0.968,0.298,114,0.25,0.2,0.018,1,0.739,0.739,0.826,3.4,1
124,423.49,30,1,0.207,1.437,2827,0.86,0.95,0.239,0,0.372,0.158,0.288,76946.28,0
125,913.77,16,8,0.134,4.475,3380,0.95,0.6,0.721,0,0.37,0.275,0.156,56343.04,0
126,6.83,111,60,0.891,0.174,117,0.25,0.16,-0.072,0,0.618,0.481,0.612,7.59,1
127,5.42,161,83,0.783,0.252,109,0.17,0.19,0.034,1,0.777,0.433,0.761,7.88,1
128,28.08,159,67,0.8,0.035,66,0.25,0.24,-0.078,1,0.699,0.616,0.854,3.31,1
129,1558.11,20,13,0.353,3.034,2597,0.76,0.97,0.822,0,0.074,0.064,0.107,72080.02,0
130,20.31,118,94,0.903,0.068,32,0.1,0.23,-0.042,1,0.732,0.535,0.805,4.96,1
131,12.74,139,101,0.71,0.15,123,0.36,0.22,0.075,1,0.869,0.705,0.619,8.85,1
132,26.44,188,53,0.824,0.128,163,0.25,0.24,0.071,0,0.732,0.618,0.985,4.29,1
133,1035.76,15,8,0.11,4.913,1462,0.95,0.79,0.38,0,0.205,0.216,0.049,58626.58,0
134,12.65,171,87,0.996,0.135,73,0.21,0.18,0.064,0,0.727,0.883,0.661,7.68,1
135,13.52,98,54,0.868,0.222,31,0.18,0.24,0.096,0,0.73,0.671,0.668,1.2,1
136,235.8,18,15,0.252,0.691,1125,0.56,0.95,0.403,1,0.033,0.271,0.338,77177.61,0
137,319.35,10,4,0.061,3.644,1239,0.7,0.81,-0.948,1,0.045,0.085,0.327,22929.53,0
138,16.2,142,69,0.993,0.179,74,0.32,0.21,0.026,1,0.773,0.528,0.954,2.01,1
139,1429.5,25,5,0.229,4.418,252,0.87,0.58,-0.428,0,0.11,0.05,0.354,78346.5,0
140,1756.35,5,18,0.216,1.967,3077,0.95,0.87,0.848,0,0.074,0.092,0.195,52490.67,0
141,1852.88,16,11,0.255,3.672,2146,0.68,0.94,0.871,1,0.327,0.206,0.365,61722.44,0
142,1770.15,19,3,0.148,1.936,2098,0.96,0.65,-0.747,0,0.239,0.254,0.154,79044.58,0
143,27.15,174,146,0.771,0.034,89,0.22,0.16,0.086,1,0.705,0.723,0.939,4.61,1
144,1702.33,6,9,0.044,1.699,1257,0.65,0.87,0.37,0,0.348,0.021,0.204,17363.73,0
145,7.58,88,70,0.964,0.113,95,0.16,0.11,-0.091,1,0.871,0.73,0.846,8.64,1
146,13.52,125,94,0.818,0.132,76,0.36,0.23,-0.048,1,0.719,0.759,0.982,7.49,1
147,1436.38,39,14,0.282,0.928,1054,0.98,0.66,0.573,0,0.225,0.14,0.335,60636.42,0
148,14.96,184,55,0.745,0.132,97,0.17,0.17,-0.078,1,0.83,0.464,0.741,5.92,1
149,6.33,147,54,0.985,0.187,157,0.11,0.26,0.008,1,0.709,0.436,0.793,8.81,1
150,1885.15,9,11,0.089,4.553,2664,0.83,0.85,0.527,0,0.256,0.185,0.154,57347.19,0
151,7.79,197,105,0.957,0.052,137,0.19,0.11,-0.082,0,0.885,0.415,0.633,9.5,1
152,721.49,32,7,0.243,2.092,1424,0.6,0.8,-0.191,0,0.153,0.068,0.335,9125.65,0
153,0.72,173,56,0.967,0.106,25,0.24,0.15,0.043,1,0.876,0.843,0.781,7.94,1
154,11.57,93,103,0.925,0.243,50,0.12,0.28,-0.022,1,0.89,0.818,0.945,3.84,1
155,7.61,133,66,0.704,0.069,78,0.23,0.15,0.037,1,0.958,0.78,0.619,4.34,1
156,12.77,140,68,0.929,0.251,2,0.16,0.24,-0.056,0,0.974,0.553,0.679,3.41,1
157,1105.63,3,3,0.109,4.21,2183,0.54,0.94,0.233,0,0.018,0.19,0.149,78423.75,0
158,24.77,185,92,0.717,0.257,6,0.39,0.18,-0.095,1,0.978,0.407,0.818,1.68,1
159,1936.98,28,3,0.268,2.507,2356,0.86,0.74,-0.621,0,0.285,0.256,0.13,44134.91,0
160,433.64,33,5,0.394,4.95,811,0.85,0.98,-0.1,0,0.268,0.288,0.279,69418.75,0
161,13.99,174,126,0.821,0.041,125,0.35,0.28,-0.058,1,0.711,0.647,0.775,3.42,1
162,921.13,34,15,0.218,3.129,3233,0.9,0.75,-0.986,0,0.319,0.075,0.015,69751.81,0
163,251.87,6,15,0.345,3.475,638,0.93,0.87,-0.243,0,0.192,0.26,0.101,8777.22,0
164,896.83,3,0,0.12,4.506,2194,0.73,0.78,0.785,0,0.386,0.2,0.342,45423.63,0
165,22.82,194,104,0.76,0.046,144,0.14,0.3,-0.09,1,0.781,0.55,0.829,2.35,1
166,20.69,158,83,0.868,0.164,20,0.15,0.12,0.052,1,0.783,0.73,0.966,1.81,1
167,6.1,175,57,0.963,0.123,104,0.39,0.11,0.03,0,0.75,0.802,0.773,9.97,1
168,816.18,21,8,0.093,4.791,1533,0.99,0.85,0.286,1,0.222,0.073,0.055,40728.92,0
169,22.08,172,103,0.892,0.109,4,0.24,0.26,0.021,1,0.999,0.437,0.689,4.67,1
170,1193.62,2,19,0.194,4.175,3602,0.96,0.57,-0.581,0,0.376,0.034,0.269,11467.46,0
171,1740.01,30,1,0.004,3.792,491,0.69,0.51,0.125,0,0.175,0.294,0.004,31734.22,0
172,7.95,136,147,0.792,0.279,1,0.32,0.14,-0.061,1,0.691,0.692,0.749,5.04,1
173,1705.42,36,12,0.25,3.949,597,0.91,0.59,0.765,0,0.068,0.143,0.378,28513.15,0
174,1975.7,30,11,0.275,0.85,3077,0.51,0.97,0.796,0,0.242,0.236,0.162,7990.96,0
175,18.99,183,144,0.852,0.028,2,0.26,0.21,-0.001,0,0.798,0.485,0.65,9.39,1
176,1521.34,30,16,0.177,0.902,1668,0.56,0.53,0.7,0,0.27,0.132,0.165,25932.57,0
177,1209.82,35,4,0.337,0.886,1638,0.9,0.64,0.083,0,0.337,0.254,0.12,13927.95,0
178,26.28,141,149,0.822,0.1,10,0.37,0.24,0.034,1,0.703,0.709,0.784,8.04,1
179,1058.58,35,17,0.2,2.313,513,0.89,0.68,0.207,0,0.039,0.242,0.076,39607.03,0
180,608.81,24,16,0.383,3.066,624,0.72,0.74,0.994,0,0.158,0.203,0.352,11006.27,0
181,9.75,81,62,0.802,0.016,178,0.28,0.23,0.028,1,0.821,0.893,0.893,7.99,1
182,8.45,188,115,0.704,0.148,83,0.32,0.11,0.066,1,0.933,0.476,0.852,1.13,1
183,1447.22,19,8,0.153,3.056,1339,0.78,0.66,0.67,0,0.366,0.252,0.295,22730.06,0
184,709.2,11,5,0.352,3.79,1073,0.56,0.99,-0.831,0,0.023,0.133,0.36,66407.5,0
185,1872.23,37,4,0.048,2.067,1860,0.68,0.71,-0.627,1,0.273,0.028,0.285,47355.98,0
186,29.0,177,58,0.743,0.123,54,0.36,0.28,-0.03,0,0.89,0.556,0.913,4.98,1
187,1336.19,20,15,0.226,1.663,1069,0.94,0.51,-0.185,0,0.286,0.004,0.264,29964.83,0
188,585.5,26,7,0.041,1.467,1349,0.66,0.91,0.313,0,0.166,0.283,0.138,45910.42,0
189,25.25,160,148,0.912,0.073,63,0.27,0.17,0.078,0,0.787,0.788,0.624,7.35,1
190,1399.82,19,4,0.203,1.437,2729,0.54,0.94,-0.353,0,0.285,0.233,0.173,66808.38,0
191,1894.36,25,5,0.14,1.486,3184,0.87,0.57,-0.815,0,0.024,0.054,0.028,75804.17,0
192,9.11,91,64,0.752,0.222,132,0.35,0.14,-0.079,1,0.909,0.719,0.852,7.81,1
193,1421.8,15,12,0.392,1.183,1017,0.74,0.87,-0.203,0,0.226,0.006,0.053,49468.04,0
194,929.92,30,11,0.147,4.542,3484,0.52,0.67,-0.44,0,0.059,0.282,0.068,32008.16,0
195,1851.29,20,11,0.023,0.606,3496,0.82,0.87,-0.87,1,0.046,0.028,0.183,32194.16,0
196,25.09,196,82,0.757,0.219,127,0.24,0.26,0.096,1,0.974,0.601,0.788,7.35,1
197,745.42,27,14,0.292,4.28,225,0.9,1.0,0.397,0,0.14,0.009,0.259,51865.83,0
198,1550.84,35,18,0.047,4.142,636,0.7,0.66,0.045,1,0.02,0.213,0.326,68160.6,0
199,14.22,90,75,0.983,0.299,85,0.24,0.13,0.097,1,0.652,0.502,0.908,4.83,1
200,421.51,13,4,0.23,4.163,3452,0.55,0.61,-0.426,0,0.275,0.063,0.335,74239.52,0
201,10.7,120,85,0.783,0.101,137,0.22,0.28,0.007,0,0.878,0.797,0.727,8.71,1
202,639.5,39,11,0.341,4.935,711,0.79,0.63,-0.448,0,0.355,0.204,0.173,66073.32,0
203,5.74,169,141,0.965,0.096,125,0.1,0.17,0.094,1,0.761,0.496,0.742,2.53,1
204,4.29,166,57,0.781,0.154,34,0.14,0.23,-0.089,1,0.727,0.4,0.804,1.42,1
205,297.15,16,14,0.098,3.515,3018,0.56,0.83,-0.959,0,0.28,0.158,0.113,15622.45,0
206,11.24,172,64,0.92,0.184,103,0.23,0.12,-0.008,1,0.657,0.725,0.623,7.5,1
207,1925.29,19,19,0.376,3.231,3077,0.9,0.71,-0.495,0,0.198,0.205,0.076,46440.88,0
208,262.74,34,2,0.369,0.719,2656,0.59,0.58,-0.213,0,0.27,0.025,0.177,24265.96,0
209,463.97,8,0,0.063,1.407,948,0.73,0.72,-0.369,0,0.193,0.061,0.219,51576.67,0
210,337.28,30,2,0.347,4.128,1879,0.56,0.72,-0.269,0,0.078,0.274,0.206,53913.11,0
211,614.56,25,11,0.11,1.775,3531,0.82,0.64,-0.443,0,0.287,0.174,0.251,8179.77,0
212,856.96,34,17,0.234,3.801,1459,0.54,0.72,0.296,0,0.097,0.274,0.088,74845.67,0
213,11.18,165,112,0.914,0.281,27,0.18,0.14,-0.027,1,0.945,0.466,0.926,8.32,1
214,431.71,19,10,0.199,2.06,3072,0.55,0.57,-0.192,0,0.33,0.176,0.361,18862.07,0
215,202.86,21,12,0.24,1.259,3303,0.57,0.82,0.59,1,0.133,0.186,0.166,48224.22,0
216,802.47,32,10,0.194,1.13,2190,0.99,0.96,0.173,0,0.125,0.005,0.253,47820.0,0
217,810.34,23,17,0.092,2.841,2464,0.89,0.69,-0.206,0,0.096,0.049,0.064,838.49,0
218,17.62,176,93,0.928,0.03,2,0.14,0.18,-0.065,1,0.749,0.897,0.998,2.03,1
219,13.21,129,78,0.925,0.152,17,0.26,0.28,0.068,1,0.969,0.452,0.651,6.01,1
220,202.46,19,0,0.321,4.33,710,0.71,0.72,-0.839,0,0.101,0.211,0.19,52881.06,0
221,1543.78,23,19,0.107,3.357,3358,0.54,0.84,0.505,0,0.387,0.112,0.376,25410.89,0
222,13.15,142,135,0.798,0.055,125,0.35,0.27,-0.05,0,0.721,0.669,0.731,8.45,1
223,29.4,109,51,0.751,0.155,27,0.15,0.2,0.016,1,0.936,0.781,0.888,9.97,1
224,21.98,122,86,0.877,0.157,118,0.27,0.24,0.075,1,0.904,0.48,0.785,1.08,1
225,29.09,164,105,0.804,0.025,52,0.11,0.2,-0.056,1,0.83,0.469,0.876,9.08,1
226,21.34,134,110,0.82,0.034,28,0.24,0.28,0.039,1,0.884,0.885,0.854,9.67,1
227,4.47,127,86,0.774,0.148,43,0.33,0.26,0.044,1,0.607,0.498,0.603,6.83,1
228,719.9,23,1,0.283,4.616,825,0.79,0.83,0.595,0,0.305,0.135,0.149,71129.38,0
229,17.42,122,129,0.889,0.223,19,0.22,0.1,-0.076,1,0.87,0.609,0.892,5.7,1
230,1908.55,5,7,0.057,2.768,1542,0.72,0.59,-0.521,0,0.044,0.278,0.149,21738.7,0
231,20.08,122,72,0.877,0.282,146,0.27,0.13,-0.006,1,0.828,0.505,0.897,1.23,1
232,15.51,120,130,0.902,0.135,151,0.39,0.27,-0.007,1,0.651,0.656,0.712,2.45,1
233,18.24,135,148,0.996,0.214,122,0.12,0.11,-0.059,1,0.766,0.507,0.852,2.9,1
234,2.93,106,70,0.911,0.069,137,0.39,0.29,-0.046,1,0.67,0.803,0.955,8.66,1
235,1232.81,13,13,0.227,3.238,1396,0.76,0.81,-0.385,0,0.355,0.042,0.021,27635.32,0
236,2.51,160,81,0.967,0.08,138,0.29,0.22,-0.076,1,0.724,0.483,0.697,3.41,1
237,1649.27,7,10,0.179,1.017,350,0.96,0.76,-0.998,0,0.205,0.095,0.008,17219.75,0
238,16.56,177,102,0.788,0.285,86,0.33,0.12,0.013,1,0.788,0.491,0.794,5.61,1
239,284.6,11,14,0.099,1.374,398,0.76,0.94,0.55,1,0.226,0.066,0.013,81243.27,0
240,17.5,151,72,0.839,0.285,140,0.37,0.13,-0.08,1,0.89,0.696,0.641,9.27,1
241,863.81,13,9,0.279,1.254,2092,0.8,0.56,0.548,1,0.196,0.168,0.154,82663.05,0
242,693.96,22,19,0.292,3.317,1663,0.59,0.75,-0.59,0,0.05,0.167,0.146,31615.91,0
243,659.83,27,17,0.29,4.057,3180,0.66,0.98,0.506,1,0.12,0.025,0.225,41762.29,0
244,24.12,142,97,0.789,0.218,78,0.4,0.26,0.05,1,0.988,0.687,0.688,8.76,1
245,28.62,156,53,0.769,0.205,32,0.11,0.15,-0.096,1,0.79,0.816,0.723,8.35,1
246,1409.77,1,5,0.39,2.007,265,0.89,0.98,-0.288,0,0.269,0.29,0.356,57653.36,0
247,1266.06,20,1,0.275,1.931,2182,0.8,0.63,0.973,0,0.241,0.052,0.235,69171.38,0
248,13.84,90,135,0.839,0.091,67,0.25,0.22,-0.031,1,0.691,0.559,0.985,4.13,1
249,0.72,123,103,0.738,0.065,166,0.16,0.19,-0.09,1,0.931,0.694,0.741,8.2,1
250,762.39,29,18,0.004,4.19,649,0.68,0.53,0.559,0,0.187,0.255,0.34,60580.84,0
251,331.07,24,18,0.182,3.387,2372,0.64,0.56,0.997,0,0.087,0.049,0.345,70824.6,0
252,1.31,85,91,0.807,0.103,50,0.23,0.12,0.024,0,0.631,0.732,0.965,5.15,1
253,1118.45,8,5,0.235,2.749,3067,0.54,0.95,-0.522,0,0.394,0.034,0.287,22520.0,0
254,1574.0,9,3,0.028,2.357,3173,0.63,0.53,0.088,0,0.125,0.296,0.028,49232.37,0
